invoice_id,customer_id,product_id,invoice_date,quantity,unit_price,discount_pct,billed_amount,contract_price,max_discount_pct,contract_start,contract_end,off_contract,usage_date,actual_usage,usage_missing,list_price,pricing_missing
INV0,C38,P5,2024-07-08,21,73.4,0,1541.4,,,,,True,2024-07-08,21,False,73.4,False
INV0,C38,P5,2024-07-08,21,73.4,0,1541.4,,,,,True,2024-06-01,14,False,73.4,False
INV0,C38,P5,2024-07-08,21,73.4,0,1541.4,,,,,True,2024-10-10,24,False,73.4,False
INV0,C38,P5,2024-07-08,21,73.4,0,1541.4,,,,,True,2024-11-16,16,False,73.4,False
INV0,C38,P5,2024-07-08,21,73.4,0,1541.4,,,,,True,2024-07-23,18,False,73.4,False
INV1,C14,P2,2024-07-22,21,159.8,0,3355.8,,,,,True,2024-07-22,21,False,159.8,False
INV1,C14,P2,2024-07-22,21,159.8,0,3355.8,,,,,True,2024-09-30,23,False,159.8,False
INV1,C14,P2,2024-07-22,21,159.8,0,3355.8,,,,,True,2024-06-27,23,False,159.8,False
INV1,C14,P2,2024-07-22,21,159.8,0,3355.8,,,,,True,2024-10-09,20,False,159.8,False
INV1,C14,P2,2024-07-22,21,159.8,0,3355.8,,,,,True,2024-11-22,13,False,159.8,False
INV1,C14,P2,2024-07-22,21,159.8,0,3355.8,,,,,True,2024-10-12,17,False,159.8,False
INV1,C14,P2,2024-07-22,21,159.8,0,3355.8,,,,,True,2024-06-09,23,False,159.8,False
INV2,C14,P6,2024-09-14,20,58.71,0,1174.2,,,,,True,2024-09-14,20,False,58.71,False
INV2,C14,P6,2024-09-14,20,58.71,0,1174.2,,,,,True,2024-11-19,29,False,58.71,False
INV2,C14,P6,2024-09-14,20,58.71,0,1174.2,,,,,True,2024-06-14,18,False,58.71,False
INV2,C14,P6,2024-09-14,20,58.71,0,1174.2,,,,,True,2024-06-17,25,False,58.71,False
INV3,C23,P4,2024-07-04,22,73.4,0,1614.8,,,,,True,2024-07-04,22,False,73.4,False
INV3,C23,P4,2024-07-04,22,73.4,0,1614.8,,,,,True,2024-11-08,15,False,73.4,False
INV3,C23,P4,2024-07-04,22,73.4,0,1614.8,,,,,True,2024-07-14,19,False,73.4,False
INV4,C42,P2,2024-09-19,7,159.8,0,1118.6,,,,,True,2024-09-19,14,False,159.8,False
INV4,C42,P2,2024-09-19,7,159.8,0,1118.6,,,,,True,2024-11-08,18,False,159.8,False
INV4,C42,P2,2024-09-19,7,159.8,0,1118.6,,,,,True,2024-07-24,20,False,159.8,False
INV4,C42,P2,2024-09-19,7,159.8,0,1118.6,,,,,True,2024-08-20,22,False,159.8,False
INV4,C42,P2,2024-09-19,7,159.8,0,1118.6,,,,,True,2024-11-18,19,False,159.8,False
INV4,C42,P2,2024-09-19,7,159.8,0,1118.6,,,,,True,2024-06-14,10,False,159.8,False
INV4,C42,P2,2024-09-19,7,159.8,0,1118.6,,,,,True,2024-08-11,19,False,159.8,False
INV4,C42,P2,2024-09-19,7,159.8,0,1118.6,,,,,True,2024-07-23,20,False,159.8,False
INV4,C42,P2,2024-09-19,7,159.8,0,1118.6,,,,,True,2024-09-28,26,False,159.8,False
INV4,C42,P2,2024-09-19,7,159.8,0,1118.6,,,,,True,2024-11-02,12,False,159.8,False
INV4,C42,P2,2024-09-19,7,159.8,0,1118.6,,,,,True,2024-07-01,18,False,159.8,False
INV5,C30,P5,2024-10-22,22,73.4,0,1614.8,,,,,True,2024-10-22,22,False,73.4,False
INV5,C30,P5,2024-10-22,22,73.4,0,1614.8,,,,,True,2024-08-14,18,False,73.4,False
INV5,C30,P5,2024-10-22,22,73.4,0,1614.8,,,,,True,2024-07-07,15,False,73.4,False
INV5,C30,P5,2024-10-22,22,73.4,0,1614.8,,,,,True,2024-06-11,17,False,73.4,False
INV5,C30,P5,2024-10-22,22,73.4,0,1614.8,,,,,True,2024-11-10,17,False,73.4,False
INV5,C30,P5,2024-10-22,22,73.4,0,1614.8,,,,,True,2024-06-03,22,False,73.4,False
INV5,C30,P5,2024-10-22,22,73.4,0,1614.8,,,,,True,2024-06-14,18,False,73.4,False
INV6,C24,P2,2024-09-04,20,159.8,0,3196.0,,,,,True,2024-09-04,20,False,159.8,False
INV6,C24,P2,2024-09-04,20,159.8,0,3196.0,,,,,True,2024-07-06,15,False,159.8,False
INV6,C24,P2,2024-09-04,20,159.8,0,3196.0,,,,,True,2024-11-10,25,False,159.8,False
INV6,C24,P2,2024-09-04,20,159.8,0,3196.0,,,,,True,2024-09-08,17,False,159.8,False
INV6,C24,P2,2024-09-04,20,159.8,0,3196.0,,,,,True,2024-09-16,28,False,159.8,False
