invoice_id,billed_amount,expected_revenue_baseline,leakage_baseline
INV547,1764.32,1838.644625,74.32462499999997
INV701,2229.78,2290.38965,60.609649999999874
INV1833,2878.88,2937.02835,58.14834999999994
INV2357,2464.55,2520.3026,55.7525999999998
INV632,4858.11,4912.757,54.646999999999935
INV2690,2654.5,2704.174966666667,49.67496666666693
INV1250,2866.86,2914.3050799999996,47.44507999999951
INV697,2423.03,2469.97722,46.947220000000016
INV1626,2524.83,2571.3577999999998,46.52779999999984
INV1668,3777.93,3823.7702799999997,45.84027999999989
INV1105,2878.88,2924.5939000000003,45.713900000000194
INV1521,2916.52,2961.9704,45.45040000000017
INV2096,2654.5,2698.7330833333335,44.233083333333525
INV1495,2878.88,2922.639875,43.75987499999974
INV384,2654.5,2698.0339166666668,43.533916666666755
INV2600,2703.28,2746.7352666666666,43.455266666666375
INV2950,4858.11,4900.8175,42.70750000000044
INV1366,3924.76,3967.0632666666666,42.30326666666633
INV2909,4678.18,4719.132875,40.95287499999995
INV1340,1783.2,1823.8958666666667,40.69586666666669
INV2138,1902.89,1943.36008,40.470079999999825
INV1414,4318.32,4357.70495,39.38495000000057
INV1237,3924.76,3963.8995000000004,39.139500000000226
INV1258,5251.52,5290.462566666666,38.9425666666657
INV2915,4858.11,4895.963371428571,37.853371428571336
INV2351,4858.11,4895.7402,37.630200000000514
INV2719,4318.32,4355.0252666666665,36.70526666666683
INV1827,1432.03,1468.6891,36.65910000000008
INV1224,2928.25,2964.1719125,35.92191249999996
INV1960,4474.4,4509.9861,35.58610000000044
INV2449,1299.14,1334.27015,35.13014999999996
INV987,1714.42,1749.5169,35.096900000000005
INV1740,2446.67,2481.728175,35.05817500000012
INV2005,2186.94,2221.134425,34.19442500000014
INV781,3515.6,3549.5938333333334,33.99383333333344
INV1850,3124.2,3157.642128571428,33.442128571428384
INV1915,1805.06,1837.8963,32.836300000000165
INV1452,2335.96,2368.625914285714,32.665914285713825
INV1493,2335.96,2368.4064,32.44639999999981
INV2912,2878.88,2911.0837833333335,32.20378333333338
INV1858,1805.06,1837.1684,32.108400000000074
INV880,2996.14,3028.1587,32.01870000000008
INV535,496.58,528.4392325,31.85923250000002
INV1676,2339.09,2370.912225,31.82222499999989
INV653,2571.89,2603.668775,31.778775000000223
INV8,2550.56,2582.22706,31.66706000000022
INV2545,2962.23,2993.789075,31.55907500000012
INV21,2878.88,2910.4075166666667,31.527516666666543
INV628,637.08,668.5574585714285,31.47745857142843
INV1297,779.42,810.8939966666667,31.47399666666672
INV1690,1719.23,1750.6648714285714,31.43487142857134
INV1890,2462.03,2493.4626333333335,31.432633333333342
INV2049,2939.8,2971.16142,31.361419999999725
INV2842,2335.96,2367.3159,31.35590000000002
INV651,2229.78,2261.11822,31.338219999999637
INV2229,2605.47,2636.38004,30.91004000000021
INV1735,2776.72,2807.300366666667,30.580366666667032
INV456,1398.0,1428.4112333333333,30.411233333333257
INV2393,3592.83,3623.2366333333334,30.406633333333502
INV524,2803.4,2833.7781999999997,30.37819999999965
INV1163,1174.2,1204.5494800000001,30.349480000000085
INV2086,3958.46,3988.682616666667,30.22261666666691
INV1518,2663.23,2693.4339999999997,30.203999999999724
INV2214,3124.2,3154.3544,30.15440000000035
INV2009,1174.2,1204.2377625,30.03776249999987
INV2558,2698.95,2728.9586714285715,30.008671428571688
INV928,3436.62,3466.5962400000003,29.976240000000416
INV762,1401.7,1431.53555,29.835550000000012
INV2550,3075.6,3105.2823,29.68229999999994
INV1448,1874.52,1904.0317285714284,29.51172857142842
INV1161,1664.79,1694.1347,29.344700000000103
INV2344,2716.6,2745.927114285714,29.327114285714288
INV2837,1863.22,1892.5229,29.30289999999991
INV959,2716.6,2745.728814285714,29.12881428571427
INV1143,1263.32,1292.3465333333334,29.02653333333342
INV1484,1592.7,1621.63932,28.939319999999952
INV48,3749.25,3777.9600428571425,28.710042857142525
INV465,1814.75,1843.4313714285713,28.68137142857131
INV1052,2993.67,3022.160925,28.49092500000006
INV450,2335.96,2364.413285714286,28.453285714285812
INV993,4318.32,4346.5756875,28.255687500000022
INV92,1592.7,1620.8125888888887,28.112588888888695
INV2762,2585.75,2613.7594,28.009399999999914
INV42,750.09,777.9590285714286,27.869028571428544
INV2297,940.6,968.43253875,27.832538750000026
INV1131,1313.98,1341.67715,27.697149999999965
INV1096,2084.88,2112.47245,27.5924500000001
INV730,2202.0,2229.5413,27.541299999999865
INV625,1785.38,1812.9017857142858,27.52178571428567
INV23,3581.32,3608.8331,27.513099999999667
INV1486,1486.52,1513.6356142857142,27.115614285714173
INV1897,4061.46,4088.5297333333333,27.06973333333326
INV568,2878.88,2905.8234875,26.94348749999972
INV2395,2339.09,2366.000775,26.91077499999983
