invoice_id,anomaly_score,is_anomaly,anomaly_rank
INV1403,-0.0899846116258497,1,1
INV1831,-0.08990180113771695,1,2
INV1063,-0.0851384447467679,1,3
INV1403,-0.0782056476281272,1,4
INV1079,-0.07713600879194449,1,5
INV1161,-0.07694507314146437,1,6
INV90,-0.07123012333835155,1,7
INV1772,-0.07025738272689996,1,8
INV320,-0.07015818601857338,1,9
INV2888,-0.0696760417389598,1,10
INV1050,-0.06822278424300643,1,11
INV2134,-0.06735432731927893,1,12
INV1079,-0.0673440259179583,1,13
INV2369,-0.06722614260154969,1,14
INV2645,-0.06675652465576509,1,15
INV2645,-0.06675652465576509,1,16
INV1831,-0.06564871695093666,1,17
INV1594,-0.06495922367513085,1,18
INV2134,-0.06477318735149828,1,19
INV1967,-0.06438636407455378,1,20
INV1967,-0.06438636407455378,1,21
INV1079,-0.06368149982793192,1,22
INV1258,-0.06343537141437128,1,23
INV90,-0.06263364635098412,1,24
INV2034,-0.06244558193567595,1,25
INV2645,-0.060402196604088965,1,26
INV230,-0.05899204315248885,1,27
INV1785,-0.05829821338498564,1,28
INV902,-0.05818083406803565,1,29
INV1263,-0.05776517954821936,1,30
INV320,-0.05763865348582098,1,31
INV320,-0.05763865348582098,1,32
INV2860,-0.056715540109494866,1,33
INV2860,-0.05629812702444392,1,34
INV230,-0.05627390981329117,1,35
INV1403,-0.0559511857341608,1,36
INV260,-0.05533231613371625,1,37
INV1851,-0.05530564484491829,1,38
INV1244,-0.05467485846177589,1,39
INV1244,-0.05467485846177589,1,40
INV1785,-0.05445041066790046,1,41
INV1593,-0.054132624825401154,1,42
INV2860,-0.05396428914584561,1,43
INV1705,-0.05352029932879809,1,44
INV525,-0.052969133607954855,1,45
INV2381,-0.05279255739698174,1,46
INV1967,-0.052290549932210606,1,47
INV1588,-0.05211514761680014,1,48
INV2946,-0.05203619108250468,1,49
INV906,-0.0515357876916549,1,50
INV1244,-0.05143880659078315,1,51
INV230,-0.0514132241474331,1,52
INV1525,-0.05117840569773158,1,53
INV2692,-0.05112703678837105,1,54
INV260,-0.05056895382898552,1,55
INV2828,-0.050294684449695426,1,56
INV2091,-0.0500358533774653,1,57
INV1593,-0.049567384108600065,1,58
INV2373,-0.04924751091061452,1,59
INV2756,-0.04805476388688679,1,60
INV985,-0.04800229703664394,1,61
INV464,-0.04788373806579593,1,62
INV464,-0.04788373806579593,1,63
INV2121,-0.04781335159351263,1,64
INV861,-0.04763566073792003,1,65
INV2848,-0.04737796183708465,1,66
INV2356,-0.04726872430995965,1,67
INV2365,-0.04724037014114868,1,68
INV824,-0.04705619193728117,1,69
INV2861,-0.046984578964373136,1,70
INV2390,-0.04683840211137047,1,71
INV2034,-0.04638833235369744,1,72
INV1593,-0.04599074472231124,1,73
INV2727,-0.04587524183261793,1,74
INV1851,-0.04543716460150804,1,75
INV1772,-0.04527407439450415,1,76
INV861,-0.04496736096315179,1,77
INV1844,-0.044506809460401864,1,78
INV2134,-0.04437597526068682,1,79
INV2134,-0.04437597526068682,1,80
INV1340,-0.04423437860246271,1,81
INV2121,-0.044113940427704224,1,82
INV1705,-0.04380686389019395,1,83
INV1063,-0.04372945823697705,1,84
INV861,-0.04351609791462285,1,85
INV1085,-0.04327945345351081,1,86
INV710,-0.04306903078667501,1,87
INV1360,-0.043017113474226654,1,88
INV2861,-0.0430146608072256,1,89
INV2285,-0.042919113291687405,1,90
INV90,-0.04275871105237572,1,91
INV2828,-0.042704113635697705,1,92
INV1295,-0.04249582024835852,1,93
INV2139,-0.04243311431373131,1,94
INV2134,-0.04233340450593692,1,95
INV2692,-0.042245121112846395,1,96
INV2304,-0.04201797508133187,1,97
INV452,-0.04199937348605742,1,98
INV1829,-0.04111799929600801,1,99
INV90,-0.04107496641442632,1,100
INV149,-0.040940261932419064,1,101
INV1185,-0.04091722070157422,1,102
INV1593,-0.040874017958956954,1,103
INV1403,-0.040856891697393705,1,104
INV985,-0.04064928398873757,1,105
INV1785,-0.04046949160887536,1,106
INV1336,-0.04043566014627653,1,107
INV1079,-0.040412575195783895,1,108
INV1079,-0.040412575195783895,1,109
INV1360,-0.040369080599976126,1,110
INV1244,-0.040210717758633385,1,111
INV1244,-0.040210717758633385,1,112
INV2285,-0.04015652672052372,1,113
INV830,-0.040100685058418795,1,114
INV2369,-0.04006337154311912,1,115
INV2756,-0.040035186717612414,1,116
INV2034,-0.03970319738417316,1,117
INV2034,-0.03970319738417316,1,118
INV1831,-0.03947781578597043,1,119
INV1831,-0.03947781578597043,1,120
INV439,-0.03937696506780708,1,121
INV622,-0.03919075020427343,1,122
INV2139,-0.0391514284219453,1,123
INV861,-0.038994806256775316,1,124
INV230,-0.03876918887593073,1,125
INV1829,-0.03870862935760355,1,126
INV525,-0.03869889303531704,1,127
INV1851,-0.03848038116258401,1,128
INV830,-0.03801140044677809,1,129
INV2692,-0.03782099064970745,1,130
INV2121,-0.03773744536140422,1,131
INV1593,-0.03758616303377671,1,132
INV464,-0.03753279482085414,1,133
INV464,-0.03753279482085414,1,134
INV316,-0.03743133747341121,1,135
INV306,-0.0372745977326332,1,136
INV1616,-0.037006348809042855,1,137
INV1403,-0.03672581634095007,1,138
INV1403,-0.03672581634095007,1,139
INV1336,-0.036679960711074044,1,140
INV2861,-0.03662597343712681,1,141
INV1588,-0.0365791334621296,1,142
INV2810,-0.03647560743193701,1,143
INV2810,-0.03647560743193701,1,144
INV2285,-0.036397567026673516,1,145
INV2603,-0.03617916463613724,1,146
INV2603,-0.03617916463613724,1,147
INV2603,-0.03617916463613724,1,148
INV2828,-0.03606780047837865,1,149
INV599,-0.03602031282979845,1,150
INV1525,-0.035969047236534046,1,151
INV2828,-0.035866042441537904,1,152
INV2828,-0.035866042441537904,1,153
INV1525,-0.03574319531839609,1,154
